Income,Category,value
Income before tax: 44781,Food,4051
Income before tax: 44781,Alcohol,392
Income before tax: 44781,Housing,17006
Income before tax: 44781,Apparel and services,1253
Income before tax: 44781,Transportation,7406
Income before tax: 44781,Healthcare,4358
Income before tax: 44781,Entertainment,2094
Income before tax: 44781,Personal care,592
Income before tax: 44781,Education,595
