Income,Category,value
Income before tax: 83586,Food,4777
Income before tax: 83586,Alcohol,544
Income before tax: 83586,Housing,21393
Income before tax: 83586,Apparel and services,1847
Income before tax: 83586,Transportation,11790
Income before tax: 83586,Healthcare,5479
Income before tax: 83586,Entertainment,3257
Income before tax: 83586,Personal care,810
Income before tax: 83586,Education,1083
