Income,Category,value
Income before tax: 59386,Food,4266
Income before tax: 59386,Alcohol,463
Income before tax: 59386,Housing,18380
Income before tax: 59386,Apparel and services,1571
Income before tax: 59386,Transportation,9805
Income before tax: 59386,Healthcare,4778
Income before tax: 59386,Entertainment,2501
Income before tax: 59386,Personal care,727
Income before tax: 59386,Education,754
