Income,Category,value
Income before tax: 121610,Food,5676
Income before tax: 121610,Alcohol,821
Income before tax: 121610,Housing,26196
Income before tax: 121610,Apparel and services,2601
Income before tax: 121610,Transportation,14846
Income before tax: 121610,Healthcare,6784
Income before tax: 121610,Entertainment,4317
Income before tax: 121610,Personal care,1045
Income before tax: 121610,Education,1798
