Income,Category,value
Income before tax: 335736,Food,8355
Income before tax: 335736,Alcohol,1681
Income before tax: 335736,Housing,47296
Income before tax: 335736,Apparel and services,5250
Income before tax: 335736,Transportation,23399
Income before tax: 335736,Healthcare,9601
Income before tax: 335736,Entertainment,10222
Income before tax: 335736,Personal care,2010
Income before tax: 335736,Education,6326
