Income,Category,value
Income before tax: 22216,Food,3241
Income before tax: 22216,Alcohol,219
Income before tax: 22216,Housing,13216
Income before tax: 22216,Apparel and services,902
Income before tax: 22216,Transportation,5272
Income before tax: 22216,Healthcare,3597
Income before tax: 22216,Entertainment,1503
Income before tax: 22216,Personal care,393
Income before tax: 22216,Education,429
