Income,Category,value
Income before tax: 34757,Food,3605
Income before tax: 34757,Alcohol,324
Income before tax: 34757,Housing,14649
Income before tax: 34757,Apparel and services,1352
Income before tax: 34757,Transportation,7662
Income before tax: 34757,Healthcare,4084
Income before tax: 34757,Entertainment,1856
Income before tax: 34757,Personal care,556
Income before tax: 34757,Education,509
