Source,Category,Spending,value
Median Income,Income Tax,Federal Taxes,3810
Median Income,Income Tax,State + Local Taxes,5554
Median Income,Spending,Food,4266
Median Income,Spending,Alcohol,463
Median Income,Spending,Housing,18380
Median Income,Spending,Apparel and Services,1571
Median Income,Spending,Transportation,9805
Median Income,Spending,Healthcare,4778
Median Income,Spending,Entertainment,2501
Median Income,Spending,Personal care,727
Median Income,Spending,Education,754
Median Income,Saving,,6777
