Source,Category,Spending,value
Income,Spending,Food,3605
Income,Spending,Alcohol,324
Income,Spending,Housing,14649
Income,Spending,Apparel and Services,1352
Income,Spending,Transportation,7662
Income,Spending,Healthcare,4084
Income,Spending,Entertainment,1856
Income,Spending,Personal care,556
Income,Spending,Education,509
