Source,Category,Spending,value
Median Income,Income Tax,Federal Taxes,23919
Median Income,Income Tax,State + Local Taxes,20091
Median Income,Spending,Food,6640
Median Income,Spending,Alcohol,1013
Median Income,Spending,Housing,33115
Median Income,Spending,Apparel and Services,3264
Median Income,Spending,Transportation,18343
Median Income,Spending,Healthcare,7661
Median Income,Spending,Entertainment,5979
Median Income,Spending,Personal care,1289
Median Income,Spending,Education,3215
Median Income,Saving,,46244
