Source,Category,Spending,value
Median Income,Income Tax,Federal Taxes,63070
Median Income,Income Tax,State + Local Taxes,38056
Median Income,Spending,Food,8355
Median Income,Spending,Alcohol,1681
Median Income,Spending,Housing,47296
Median Income,Spending,Apparel and Services,5250
Median Income,Spending,Transportation,23399
Median Income,Spending,Healthcare,9601
Median Income,Spending,Entertainment,10222
Median Income,Spending,Personal care,2010
Median Income,Spending,Education,6326
Median Income,Saving,,120470
