Source,Category,Spending,value
Median Income,Income Tax,Federal Taxes,13103
Median Income,Income Tax,State + Local Taxes,14146
Median Income,Spending,Food,5676
Median Income,Spending,Alcohol,821
Median Income,Spending,Housing,26196
Median Income,Spending,Apparel and Services,2601
Median Income,Spending,Transportation,14846
Median Income,Spending,Healthcare,6784
Median Income,Spending,Entertainment,4317
Median Income,Spending,Personal care,1045
Median Income,Spending,Education,1798
Median Income,Saving,,30277
